author_name,is_admin,is_hidden,content,id,created_date,updated_date,created_by_id,created_by,is_sample
"משה","false","false","התחברות איטית מאוד מאוד. תגובה איטית מאוד. ","69b27bd7b122de86500cbf23","2026-03-12T08:39:51.839000","2026-03-12T08:39:51.839000","anonymous","anonymous","false"
"אנונימית","false","false","לא ניתן להגיש מסמכים (הודעת שגיאה (1601)","6980657d511e33c6cb5c26ce","2026-02-02T08:51:09.322000","2026-02-02T08:51:09.322000","anonymous","anonymous","false"
"אנונימי","true","false","לאורך כל היום, מרבית הזמן לא היה ניתן כלל להיכנס לאתר. ככל שהיה ניתן, אז רכיבים שונים כמו דיונים, החלטות או פרטי התיק הובילו להודעות שגיאה. ","697f33e56c5cb2453c40a596","2026-02-01T11:07:17.071000","2026-02-01T11:07:17.071000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"אנונימי","false","false","מסמכים לא זמינים","69552176f27ef38ba25a7cec","2025-12-31T13:13:26.375000","2025-12-31T13:13:26.375000","anonymous","anonymous","false"
"אנונימי","false","false","החל מהבוקר אין התראות באפליקציה (אנדרואיד) של נט המשפט על החלטות בנט. ","6954ed4106adb80c688e32e0","2025-12-31T09:30:41.494000","2025-12-31T09:30:41.494000","anonymous","anonymous","false"
"אנונימי","false","false","כבר כמה ימים הרבה מהמסמכים אינם זמינים שעות לאחר שהופקו בנט המשפט
","6954ed0374b43347db6d3ea5","2025-12-31T09:29:39.053000","2025-12-31T09:29:39.053000","anonymous","anonymous","false"
"בעיות התחברות","false","false","יש קשיים לחלק מהאנשים להתחבר, אף שאין כל הודעת שגיאה בהודעות המערכת של נט המשפט","695395da207184b15842d582","2025-12-30T09:05:30.086000","2025-12-30T09:05:30.086000","anonymous","anonymous","false"
"אנונימי","false","false","תקלה בשליפת נתונים. אי אפשר לגשת לתיקים.","6953744093e4cc120d92ffb7","2025-12-30T06:42:08.954000","2025-12-30T06:42:08.954000","anonymous","anonymous","false"
"מוש גרוניך","false","false","תקלה בהתחברות ","6952f1434920abd180fd4d6a","2025-12-29T21:23:15.888000","2025-12-29T21:23:15.888000","anonymous","anonymous","false"
"אנונימי","true","false","בעיות התחברות ותצוגה חלקית","693e916de4a65567f53e300e","2025-12-14T10:29:01.910000","2025-12-14T10:29:01.910000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"אנונימי","true","false","במקום כניסה לאתר, מתקבלת הודעת שגיאה ""זוהתה פעילות בלתי מורשת"" ובהמשך ""הגעת לדף זה מכיוון שהובחנה פעילות לא מורשת.
במקרה הצורך ניתן לפנות לטלפון: 3852* או במייל לכתובת Courtinfo@court.gov.il עם מספר הפעולה בעת הפנייה.""","6934126f1856350db2aa43d9","2025-12-06T11:24:31.053000","2025-12-06T11:24:31.053000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"אנונימי","true","false","פח המשפט מת לחלוטין, ולא ניתן להיכנס","69317005db692579949e1cc6","2025-12-04T11:27:01.494000","2025-12-04T11:27:01.494000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"אנונימי","true","false","בעת לחיצה על ""החלטות בתיקים שלי"" מקבלים הודעה אדומה ""תקלה בשליפת נתונים""","6922be23959fc8de30ec88e0","2025-11-23T07:56:19.744000","2025-11-23T07:56:19.744000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"אנונימי","true","false","מת המשפט עד ליום ראשון 23.11.2025","691e2f87fea27935afacda42","2025-11-19T20:58:47.465000","2025-11-19T20:58:47.465000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"אנונימי","false","false","בעת ניסיון לצפות במסך החלטות, מתקבלת שגיאת שרת","691586c467f07d37a445f443","2025-11-13T07:20:36.745000","2025-11-13T07:20:36.745000","anonymous","anonymous","false"
"משתמש מזדמן","false","false","בעת ניסיון להציג פרטי תיקים ומידע בתיקים מתקבלת הודעה תקלה בשליפת נתונים","68d8f64e312ddc36dd867f23","2025-09-28T08:48:14.673000","2025-09-28T08:48:14.673000","anonymous","anonymous","false"
"דן","false","false","קשיים בהגשה, מראה נתונים בתיקים אחרי רענון","68d8f497443534176a3f7915","2025-09-28T08:40:55.568000","2025-09-28T08:40:55.568000","anonymous","anonymous","false"
"יש קושי בצפייה בהחלטות","false","false","יש קושי בצפייה בהחלטות","68c67283ce7d3c2d517a443a","2025-09-14T07:45:07.747000","2025-09-14T07:45:07.747000","anonymous","anonymous","false"
"אנונימי","false","false","לא נותן להגיש בקשות אחרי שהליך בדיקת המסמכים נמצא תקין. ","688776463981a3200ccb76fe","2025-07-28T13:08:22.229000","2025-07-28T13:08:22.229000","anonymous","anonymous","false"
"אנונימי","false","false","לא ניתן להוריד או לשלוח בדוא""ל ההחלטות, רק להדפיס. ","68824be2d3b94d12d04a5281","2025-07-24T15:06:10.418000","2025-07-24T15:06:10.418000","anonymous","anonymous","false"
