scheduled_from,expires_at,is_hidden,description,is_scheduled,reporter_type,scheduled_until,status,id,created_date,updated_date,created_by_id,created_by,is_sample
"","2026-03-12T09:32:32.251Z","false","דיווח red","false","admin","","red","69b28127e55f7351ac400309","2026-03-12T09:02:31.471000","2026-03-12T09:02:31.471000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"","2026-03-12T09:07:18.132Z","false","דיווח orange","false","user","","orange","69b27b3ffe0419f62fa542de","2026-03-12T08:37:19.150000","2026-03-12T08:37:19.150000","anonymous","anonymous","false"
"","2026-03-11T11:41:34.037Z","false","דיווח red","false","user","","red","69b14de7d9d0ac75053d0f90","2026-03-11T11:11:35.598000","2026-03-11T11:11:35.598000","anonymous","anonymous","false"
"","2026-03-11T11:27:09.166Z","false","דיווח orange","false","user","","orange","69b14a86a63075bf4650da0e","2026-03-11T10:57:10.173000","2026-03-11T10:57:10.173000","anonymous","anonymous","false"
"","2026-03-11T11:27:06.561Z","false","דיווח red","false","user","","red","69b14a83122e193632c421e7","2026-03-11T10:57:07.072000","2026-03-11T10:57:07.072000","anonymous","anonymous","false"
"","","false","איפוס מערכת","false","user","","green","69b14a7e554815e954293b76","2026-03-11T10:57:02.754000","2026-03-11T10:57:02.754000","anonymous","anonymous","false"
"","2026-03-11T11:26:56.279Z","false","דיווח red","false","user","","red","69b14a79029f273ee017ee82","2026-03-11T10:56:57.350000","2026-03-11T10:56:57.350000","anonymous","anonymous","false"
"","2026-03-10T15:13:07.884Z","false","דיווח red","false","user","","red","69b02dfc475dc33d4609eb88","2026-03-10T14:43:08.521000","2026-03-10T14:43:08.521000","anonymous","anonymous","false"
"","2026-03-10T13:30:33.592Z","false","דיווח red","false","admin","","red","69b015f270121879d3917f19","2026-03-10T13:00:34.470000","2026-03-10T13:00:34.470000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"","2026-03-10T12:17:45.366Z","false","דיווח red","false","admin","","red","69b004ddaf36b180e2377fd5","2026-03-10T11:47:41.700000","2026-03-10T11:47:41.700000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"","2026-03-10T12:17:43.566Z","false","דיווח red","false","admin","","red","69b004dbfc8de9124fb0b45e","2026-03-10T11:47:39.890000","2026-03-10T11:47:39.890000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"","2026-03-10T12:17:41.499Z","false","דיווח red","false","admin","","red","69b004d9b1f97d14656157c5","2026-03-10T11:47:37.940000","2026-03-10T11:47:37.940000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"","2026-03-10T11:44:45.180Z","false","דיווח red","false","admin","","red","69affd2165750a0eab2186d9","2026-03-10T11:14:41.469000","2026-03-10T11:14:41.469000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"","2026-02-25T22:08:34.289Z","false","דיווח red","false","user","","red","699f6bdba34a0c5164c9ca1c","2026-02-25T21:38:35.240000","2026-02-25T21:38:35.240000","anonymous","anonymous","false"
"","2026-02-25T14:50:26.181Z","false","דיווח orange","false","admin","","orange","699f0526f32a9c2cc93137c8","2026-02-25T14:20:22.612000","2026-02-25T14:20:22.612000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"","","false","איפוס מערכת","false","admin","","green","699deed0a0cef1bac7aab4ee","2026-02-24T18:32:48.105000","2026-02-24T18:32:48.105000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"","2026-02-24T19:02:45.042Z","false","דיווח red","false","admin","","red","699deecebb9962f984dcbac6","2026-02-24T18:32:46.127000","2026-02-24T18:32:46.127000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"","","false","איפוס מערכת","false","admin","","green","699dee95ac7239f998129a9d","2026-02-24T18:31:49.130000","2026-02-24T18:31:49.130000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"","2026-02-24T19:01:27.524Z","false","דיווח orange","false","admin","","orange","699dee80926fae2cc8605692","2026-02-24T18:31:28.578000","2026-02-24T18:31:28.578000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"","2026-02-10T09:50:08.952Z","false","דיווח orange","false","user","","orange","698af84a11ed311eb94557fa","2026-02-10T09:20:10.107000","2026-02-10T09:20:10.107000","anonymous","anonymous","false"
"","2026-02-08T14:55:51.180Z","false","דיווח orange","false","admin","","orange","69889ce9d78e144ad80818f4","2026-02-08T14:25:45.421000","2026-02-08T14:25:45.421000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"","2026-02-08T14:34:53.776Z","false","דיווח orange","false","admin","","orange","698898009e3d30f29a589b28","2026-02-08T14:04:48.076000","2026-02-08T14:04:48.076000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"","2026-02-08T14:17:56.481Z","false","דיווח orange","false","admin","","orange","69889406b912a409f9b319e7","2026-02-08T13:47:50.712000","2026-02-08T13:47:50.712000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"","2026-02-08T14:10:47.271Z","false","דיווח orange","false","admin","","orange","698892592af047e386cb92f7","2026-02-08T13:40:41.455000","2026-02-08T13:40:41.455000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"","2026-02-08T14:07:53.464Z","false","דיווח orange","false","admin","","orange","698891abc99dad2425dc70c0","2026-02-08T13:37:47.691000","2026-02-08T13:37:47.691000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"","2026-02-02T09:38:46.986Z","false","דיווח orange","false","admin","","orange","698069a0206e11dedca1f9c8","2026-02-02T09:08:48.673000","2026-02-02T09:08:48.673000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"","2026-02-02T09:20:40.993Z","false","דיווח orange","false","user","","orange","69806561458ba48f2d22a838","2026-02-02T08:50:41.876000","2026-02-02T08:50:41.876000","anonymous","anonymous","false"
"","2026-02-01T18:01:32.997Z","false","דיווח red","false","admin","","red","697f8df49d3aa449bbcce20a","2026-02-01T17:31:32.708000","2026-02-01T17:31:32.708000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"","2026-02-01T12:27:27.892Z","false","דיווח red","false","admin","","red","697f3f9f63056a7ac5d7806b","2026-02-01T11:57:19.816000","2026-02-01T11:57:19.816000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"","2026-02-01T12:27:24.961Z","false","דיווח red","false","admin","","red","697f3f9cf78efe229fc89752","2026-02-01T11:57:16.972000","2026-02-01T11:57:16.972000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"","2026-02-01T12:11:08.694Z","false","דיווח red","false","admin","","red","697f3bccdcd41c07a8ad5dc2","2026-02-01T11:41:00.564000","2026-02-01T11:41:00.564000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"","2026-02-01T11:40:55.002Z","false","דיווח red","false","admin","","red","697f34b650c650e000e0d98f","2026-02-01T11:10:46.897000","2026-02-01T11:10:46.897000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"","2026-02-01T11:40:43.902Z","false","דיווח red","false","admin","","red","697f34ab4a1ae7a8ff51ffaf","2026-02-01T11:10:35.785000","2026-02-01T11:10:35.785000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"","2026-02-01T11:36:53.351Z","false","דיווח red","false","admin","","red","697f33c51aac5a752176ef03","2026-02-01T11:06:45.384000","2026-02-01T11:06:45.384000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"","2026-02-01T10:43:11.980Z","false","דיווח red","false","admin","","red","697f272fe6cafddf0d83adb1","2026-02-01T10:13:03.878000","2026-02-01T10:13:03.878000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"","2026-02-01T10:43:10.202Z","false","דיווח orange","false","admin","","orange","697f272ebdde0116517d919f","2026-02-01T10:13:02.141000","2026-02-01T10:13:02.141000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"","2026-02-01T10:19:22.622Z","false","דיווח orange","false","admin","","orange","697f219a37e23b478efb8738","2026-02-01T09:49:14.484000","2026-02-01T09:49:14.484000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"","2026-02-01T10:18:46.520Z","false","דיווח orange","false","user","","orange","697f217fb2cfb7bc9f5bb3fd","2026-02-01T09:48:47.555000","2026-02-01T09:48:47.555000","anonymous","anonymous","false"
"","2026-02-01T08:39:44.644Z","false","דיווח orange","false","admin","","orange","697f0a40ceae523e8d02335b","2026-02-01T08:09:36.536000","2026-02-01T08:09:36.536000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"","2026-02-01T08:38:42.591Z","false","דיווח orange","false","admin","","orange","697f0a0269c6c5db4b895ee6","2026-02-01T08:08:34.370000","2026-02-01T08:08:34.370000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"","2026-01-29T13:53:43.686Z","false","דיווח orange","false","admin","","orange","697b5f5d12fac2e327143a78","2026-01-29T13:23:41.794000","2026-01-29T13:23:41.794000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"","2026-01-29T13:53:16.411Z","false","דיווח orange","false","admin","","orange","697b5f4235ce805956ad54e5","2026-01-29T13:23:14.574000","2026-01-29T13:23:14.574000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"","2026-01-29T13:52:59.705Z","false","דיווח orange","false","admin","","orange","697b5f31bf6769c73bfa9ea0","2026-01-29T13:22:57.740000","2026-01-29T13:22:57.740000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"","2026-01-27T09:23:54.943Z","false","דיווח orange","false","admin","","orange","69787d232099415bf3ab18a3","2026-01-27T08:53:55.457000","2026-01-27T08:53:55.457000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"","2026-01-27T09:14:07.973Z","false","דיווח orange","false","admin","","orange","69787ad92b16a570f833d83a","2026-01-27T08:44:09.912000","2026-01-27T08:44:09.912000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"","2026-01-26T09:29:27.790Z","false","דיווח orange","false","admin","","orange","69772cf14603f24e3552f9d6","2026-01-26T08:59:29.133000","2026-01-26T08:59:29.133000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"","2026-01-26T06:59:07.820Z","false","דיווח orange","false","admin","","orange","697709b5c6fd992eaaffbdc5","2026-01-26T06:29:09.007000","2026-01-26T06:29:09.007000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"","2026-01-25T14:51:04.432Z","false","דיווח orange","false","admin","","orange","697626d16a3b26c17527d16b","2026-01-25T14:21:05.747000","2026-01-25T14:21:05.747000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"","2026-01-25T14:49:56.076Z","false","דיווח orange","false","admin","","orange","6976268e56b4c0d8bb4c9b57","2026-01-25T14:19:58.915000","2026-01-25T14:19:58.915000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"","2026-01-25T14:13:11.146Z","false","דיווח orange","false","admin","","orange","69761df25bf1fd3f754e3164","2026-01-25T13:43:14.422000","2026-01-25T13:43:14.422000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"","2026-01-25T14:13:07.067Z","false","דיווח orange","false","admin","","orange","69761dec0f4c82a896584eb0","2026-01-25T13:43:08.448000","2026-01-25T13:43:08.448000","687d4f881dbc0bae0d03f20b","zomerg@gmail.com","false"
"","2026-01-25T13:53:37.475Z","false","דיווח orange","false","user","","orange","6976195a1d7d08e556e0603f","2026-01-25T13:23:38.277000","2026-01-25T13:23:38.277000","anonymous","anonymous","false"
